Start of log file. Seed: 1680644221
Day 1: 
ExxonMobil - Price: 100.720001     Price change: 0.720001% 
Microsoft - Price: 128.108109     Price change: 0.890006% 
AT&T - Price: 188.177063     Price change: 3.549999% 
Day 49: 
ExxonMobil - Price: 190.741165     Price change: 5.990001% 
Shermin-Williams - Price: 153.440765     Price change: -1.219999% 
Boeing - Price: 153.530212     Price change: -0.720000% 
Duke Energy - Price: 146.369049     Price change: 0.799995% 
UnitedHealth Group - Price: 181.710464     Price change: -0.019998% 
JPMorgan Chase - Price: 155.563217     Price change: 2.590000% 
McDonalds - Price: 165.653992     Price change: 0.269999% 
Coca-Cola - Price: 151.548508     Price change: 0.810001% 
Microsoft - Price: 132.220383     Price change: 3.210003% 
AT&T - Price: 187.480804     Price change: -0.370002% 
Day 50: 
ExxonMobil - Price: 190.283386     Price change: -0.240000% 
Shermin-Williams - Price: 157.890549     Price change: 2.900001% 
Boeing - Price: 156.923233     Price change: 2.210002% 
Duke Energy - Price: 150.555206     Price change: 2.860002% 
UnitedHealth Group - Price: 182.455475     Price change: 0.409999% 
JPMorgan Chase - Price: 157.134399     Price change: 1.009996% 
McDonalds - Price: 169.546860     Price change: 2.350000% 
Coca-Cola - Price: 152.109238     Price change: 0.370000% 
Microsoft - Price: 134.666458     Price change: 1.849999% 
AT&T - Price: 187.199585     Price change: -0.149999% 
Day 51: 
ExxonMobil - Price: 194.583786     Price change: 2.259998% 
Shermin-Williams - Price: 165.516663     Price change: 4.830000% 
Boeing - Price: 160.108780     Price change: 2.030003% 
Duke Energy - Price: 150.464874     Price change: -0.059999% 
UnitedHealth Group - Price: 188.823166     Price change: 3.489997% 
JPMorgan Chase - Price: 159.884247     Price change: 1.749997% 
McDonalds - Price: 170.106369     Price change: 0.330003% 
Coca-Cola - Price: 155.410004     Price change: 2.169997% 
Microsoft - Price: 136.619125     Price change: 1.450003% 
AT&T - Price: 200.603073     Price change: 7.159999% 
Day 52: 
ExxonMobil - Price: 195.439957     Price change: 0.440001% 
Shermin-Williams - Price: 157.753937     Price change: -4.689997% 
Boeing - Price: 166.449081     Price change: 3.959996% 
Duke Energy - Price: 151.894287     Price change: 0.949998% 
UnitedHealth Group - Price: 192.410812     Price change: 1.900003% 
JPMorgan Chase - Price: 161.754898     Price change: 1.170003% 
McDonalds - Price: 169.698120     Price change: -0.239996% 
Coca-Cola - Price: 154.182266     Price change: -0.789999% 
Microsoft - Price: 138.927994     Price change: 1.690004% 
AT&T - Price: 200.763550     Price change: 0.079997% 
Day 53: 
ExxonMobil - Price: 196.925293     Price change: 0.759996% 
Shermin-Williams - Price: 162.423447     Price change: 2.959996% 
Boeing - Price: 164.851166     Price change: -0.960003% 
Duke Energy - Price: 152.137314     Price change: 0.159997% 
UnitedHealth Group - Price: 189.890228     Price change: -1.310001% 
JPMorgan Chase - Price: 163.178345     Price change: 0.880002% 
McDonalds - Price: 172.311478     Price change: 1.540004% 
Coca-Cola - Price: 155.677841     Price change: 0.970005% 
Microsoft - Price: 139.469818     Price change: 0.390004% 
AT&T - Price: 201.486298     Price change: 0.360000% 
Day 54: 
ExxonMobil - Price: 194.503113     Price change: -1.230000% 
Shermin-Williams - Price: 159.970856     Price change: -1.509998% 
Boeing - Price: 164.142303     Price change: -0.430001% 
Duke Energy - Price: 151.924316     Price change: -0.140003% 
UnitedHealth Group - Price: 188.769882     Price change: -0.589997% 
JPMorgan Chase - Price: 163.977921     Price change: 0.490001% 
McDonalds - Price: 172.001312     Price change: -0.180003% 
Coca-Cola - Price: 159.274002     Price change: 2.310002% 
Microsoft - Price: 139.623230     Price change: 0.109996% 
AT&T - Price: 201.244507     Price change: -0.120004% 
Day 55: 
ExxonMobil - Price: 196.117493     Price change: 0.830002% 
Shermin-Williams - Price: 159.922867     Price change: -0.029999% 
Boeing - Price: 164.913773     Price change: 0.470000% 
Duke Energy - Price: 163.166718     Price change: 7.400001% 
UnitedHealth Group - Price: 190.506561     Price change: 0.919998% 
JPMorgan Chase - Price: 161.878998     Price change: -1.280003% 
McDonalds - Price: 170.848907     Price change: -0.669998% 
Coca-Cola - Price: 161.233078     Price change: 1.230004% 
Microsoft - Price: 140.963608     Price change: 0.959996% 
AT&T - Price: 199.654678     Price change: -0.789998% 
Day 56: 
ExxonMobil - Price: 199.176926     Price change: 1.560000% 
Shermin-Williams - Price: 161.634048     Price change: 1.070004% 
Boeing - Price: 167.684326     Price change: 1.680001% 
Duke Energy - Price: 162.775116     Price change: -0.240001% 
UnitedHealth Group - Price: 192.202072     Price change: 0.890001% 
JPMorgan Chase - Price: 162.057068     Price change: 0.110002% 
McDonalds - Price: 166.475174     Price change: -2.560001% 
Coca-Cola - Price: 163.845047     Price change: 1.619996% 
Microsoft - Price: 139.666748     Price change: -0.919996% 
AT&T - Price: 203.288391     Price change: 1.819999% 
Day 57: 
ExxonMobil - Price: 204.793716     Price change: 2.820001% 
Shermin-Williams - Price: 169.214691     Price change: 4.690004% 
Boeing - Price: 170.685883     Price change: 1.790004% 
Duke Energy - Price: 163.702927     Price change: 0.569995% 
UnitedHealth Group - Price: 195.161987     Price change: 1.540002% 
JPMorgan Chase - Price: 161.489868     Price change: -0.350000% 
McDonalds - Price: 171.502731     Price change: 3.020004% 
Coca-Cola - Price: 164.697037     Price change: 0.519997% 
Microsoft - Price: 138.465607     Price change: -0.860005% 
AT&T - Price: 199.263275     Price change: -1.980003% 
Day 58: 
ExxonMobil - Price: 212.924026     Price change: 3.970000% 
Shermin-Williams - Price: 173.055862     Price change: 2.269999% 
Boeing - Price: 171.129669     Price change: 0.260002% 
Duke Energy - Price: 163.457367     Price change: -0.150003% 
UnitedHealth Group - Price: 197.016022     Price change: 0.949998% 
JPMorgan Chase - Price: 169.338272     Price change: 4.859998% 
McDonalds - Price: 175.361542     Price change: 2.249999% 
Coca-Cola - Price: 166.278122     Price change: 0.959996% 
Microsoft - Price: 138.479446     Price change: 0.009995% 
AT&T - Price: 199.900925     Price change: 0.320004% 
Day 59: 
ExxonMobil - Price: 225.380081     Price change: 5.850000% 
Shermin-Williams - Price: 182.020157     Price change: 5.180000% 
Boeing - Price: 169.846191     Price change: -0.750003% 
Duke Energy - Price: 167.723602     Price change: 2.609999% 
UnitedHealth Group - Price: 197.075119     Price change: 0.029996% 
JPMorgan Chase - Price: 168.423843     Price change: -0.540001% 
McDonalds - Price: 176.781967     Price change: 0.809998% 
Coca-Cola - Price: 162.869415     Price change: -2.050003% 
Microsoft - Price: 140.792053     Price change: 1.670000% 
AT&T - Price: 204.818481     Price change: 2.459997% 
Day 60: 
ExxonMobil - Price: 229.887680     Price change: 1.999999% 
Shermin-Williams - Price: 182.821045     Price change: 0.440000% 
Boeing - Price: 172.224045     Price change: 1.400004% 
Duke Energy - Price: 170.776169     Price change: 1.819998% 
UnitedHealth Group - Price: 198.001373     Price change: 0.470001% 
JPMorgan Chase - Price: 167.564880     Price change: -0.510001% 
McDonalds - Price: 177.984085     Price change: 0.680000% 
Coca-Cola - Price: 166.501404     Price change: 2.230000% 
Microsoft - Price: 140.693497     Price change: -0.070001% 
AT&T - Price: 209.672684     Price change: 2.370002% 
Day 61: 
ExxonMobil - Price: 234.485428     Price change: 1.999997% 
Shermin-Williams - Price: 185.563354     Price change: 1.499997% 
Boeing - Price: 170.674026     Price change: -0.900001% 
Duke Energy - Price: 171.527588     Price change: 0.440002% 
UnitedHealth Group - Price: 201.505997     Price change: 1.770000% 
JPMorgan Chase - Price: 166.626511     Price change: -0.560004% 
McDonalds - Price: 178.464645     Price change: 0.270002% 
Coca-Cola - Price: 169.082169     Price change: 1.549996% 
Microsoft - Price: 140.440247     Price change: -0.180001% 
AT&T - Price: 207.848526     Price change: -0.870003% 
Day 62: 
ExxonMobil - Price: 244.052429     Price change: 4.079998% 
Shermin-Williams - Price: 188.625153     Price change: 1.650001% 
Boeing - Price: 170.418015     Price change: -0.150001% 
Duke Energy - Price: 173.637375     Price change: 1.229999% 
UnitedHealth Group - Price: 204.004669     Price change: 1.239999% 
JPMorgan Chase - Price: 167.876205     Price change: 0.749998% 
McDonalds - Price: 178.393265     Price change: -0.039997% 
Coca-Cola - Price: 176.876862     Price change: 4.610003% 
Microsoft - Price: 140.749222     Price change: 0.220005% 
AT&T - Price: 208.596786     Price change: 0.360003% 
Day 63: 
ExxonMobil - Price: 245.321503     Price change: 0.520000% 
Shermin-Williams - Price: 187.285919     Price change: -0.709997% 
Boeing - Price: 170.775894     Price change: 0.210001% 
Duke Energy - Price: 174.522919     Price change: 0.509996% 
UnitedHealth Group - Price: 206.575134     Price change: 1.260003% 
JPMorgan Chase - Price: 171.838089     Price change: 2.360003% 
McDonalds - Price: 178.928452     Price change: 0.300004% 
Coca-Cola - Price: 175.302658     Price change: -0.890000% 
Microsoft - Price: 143.465683     Price change: 1.930001% 
AT&T - Price: 212.622711     Price change: 1.930003% 
Day 64: 
ExxonMobil - Price: 247.750183     Price change: 0.989999% 
Shermin-Williams - Price: 191.893158     Price change: 2.460003% 
Boeing - Price: 168.145950     Price change: -1.539997% 
Duke Energy - Price: 176.303055     Price change: 1.020001% 
UnitedHealth Group - Price: 211.078476     Price change: 2.180002% 
JPMorgan Chase - Price: 180.790848     Price change: 5.209997% 
McDonalds - Price: 181.970230     Price change: 1.699997% 
Coca-Cola - Price: 175.337723     Price change: 0.020002% 
Microsoft - Price: 143.967819     Price change: 0.350004% 
AT&T - Price: 220.000717     Price change: 3.469999% 
Day 65: 
ExxonMobil - Price: 253.225464     Price change: 2.210001% 
Shermin-Williams - Price: 198.551849     Price change: 3.469999% 
Boeing - Price: 172.198273     Price change: 2.410003% 
Duke Energy - Price: 177.466660     Price change: 0.660003% 
UnitedHealth Group - Price: 215.236725     Price change: 1.970001% 
JPMorgan Chase - Price: 182.689148     Price change: 1.049998% 
McDonalds - Price: 185.245697     Price change: 1.800002% 
Coca-Cola - Price: 174.355835     Price change: -0.559998% 
Microsoft - Price: 144.183777     Price change: 0.150004% 
AT&T - Price: 225.456741     Price change: 2.480003% 
Day 66: 
ExxonMobil - Price: 251.604828     Price change: -0.639997% 
Shermin-Williams - Price: 203.634781     Price change: 2.560002% 
Boeing - Price: 173.420883     Price change: 0.710002% 
Duke Energy - Price: 176.579330     Price change: -0.499998% 
UnitedHealth Group - Price: 214.526443     Price change: -0.330000% 
JPMorgan Chase - Price: 183.986237     Price change: 0.709998% 
McDonalds - Price: 186.838806     Price change: 0.859998% 
Coca-Cola - Price: 175.035828     Price change: 0.390003% 
Microsoft - Price: 154.709198     Price change: 7.300004% 
AT&T - Price: 234.790649     Price change: 4.140000% 
Day 67: 
ExxonMobil - Price: 253.315735     Price change: 0.679998% 
Shermin-Williams - Price: 202.168610     Price change: -0.720000% 
Boeing - Price: 177.357544     Price change: 2.270004% 
Duke Energy - Price: 177.073746     Price change: 0.279996% 
UnitedHealth Group - Price: 225.724731     Price change: 5.220004% 
JPMorgan Chase - Price: 184.501404     Price change: 0.280003% 
McDonalds - Price: 187.754318     Price change: 0.490001% 
Coca-Cola - Price: 184.067673     Price change: 5.159998% 
Microsoft - Price: 160.866623     Price change: 3.979999% 
AT&T - Price: 235.518494     Price change: 0.309997% 
Day 68: 
ExxonMobil - Price: 260.129913     Price change: 2.689994% 
Shermin-Williams - Price: 200.248001     Price change: -0.950003% 
Boeing - Price: 176.878677     Price change: -0.270001% 
Duke Energy - Price: 180.367325     Price change: 1.860004% 
UnitedHealth Group - Price: 224.663818     Price change: -0.470003% 
JPMorgan Chase - Price: 184.261551     Price change: -0.130001% 
McDonalds - Price: 195.715103     Price change: 4.240001% 
Coca-Cola - Price: 183.515472     Price change: -0.299999% 
Microsoft - Price: 163.102676     Price change: 1.390005% 
AT&T - Price: 234.246689     Price change: -0.540002% 
Day 69: 
ExxonMobil - Price: 258.308990     Price change: -0.700005% 
Shermin-Williams - Price: 201.669769     Price change: 0.710004% 
Boeing - Price: 178.895096     Price change: 1.140001% 
Duke Energy - Price: 187.654160     Price change: 4.039997% 
UnitedHealth Group - Price: 221.473587     Price change: -1.420002% 
JPMorgan Chase - Price: 186.638519     Price change: 1.289997% 
McDonalds - Price: 195.499817     Price change: -0.110000% 
Coca-Cola - Price: 186.928864     Price change: 1.860002% 
Microsoft - Price: 161.960953     Price change: -0.700003% 
AT&T - Price: 238.228882     Price change: 1.700000% 
Day 70: 
ExxonMobil - Price: 261.563690     Price change: 1.260002% 
Shermin-Williams - Price: 201.750443     Price change: 0.040003% 
Boeing - Price: 181.113388     Price change: 1.239996% 
Duke Energy - Price: 191.519836     Price change: 2.060001% 
UnitedHealth Group - Price: 224.330597     Price change: 1.290000% 
JPMorgan Chase - Price: 186.190582     Price change: -0.240002% 
McDonalds - Price: 195.147919     Price change: -0.179999% 
Coca-Cola - Price: 183.022049     Price change: -2.090001% 
Microsoft - Price: 163.434799     Price change: 0.910001% 
AT&T - Price: 239.658249     Price change: 0.599997% 
Day 71: 
ExxonMobil - Price: 263.708527     Price change: 0.820005% 
Shermin-Williams - Price: 192.248001     Price change: -4.709998% 
Boeing - Price: 181.529953     Price change: 0.230002% 
Duke Energy - Price: 191.270859     Price change: -0.130001% 
UnitedHealth Group - Price: 225.227921     Price change: 0.400001% 
JPMorgan Chase - Price: 188.722778     Price change: 1.360002% 
McDonalds - Price: 194.503937     Price change: -0.329997% 
Coca-Cola - Price: 181.576172     Price change: -0.790002% 
Microsoft - Price: 163.745331     Price change: 0.190003% 
AT&T - Price: 244.619171     Price change: 2.069999% 
Day 72: 
ExxonMobil - Price: 263.260223     Price change: -0.170000% 
Shermin-Williams - Price: 195.343201     Price change: 1.610004% 
Boeing - Price: 180.350006     Price change: -0.650001% 
Duke Energy - Price: 199.170349     Price change: 4.130002% 
UnitedHealth Group - Price: 231.984756     Price change: 2.999999% 
JPMorgan Chase - Price: 189.232330     Price change: 0.270000% 
McDonalds - Price: 201.544983     Price change: 3.620002% 
Coca-Cola - Price: 188.076599     Price change: 3.580000% 
Microsoft - Price: 164.989792     Price change: 0.759998% 
AT&T - Price: 249.266937     Price change: 1.900001% 
Day 73: 
ExxonMobil - Price: 267.340759     Price change: 1.550001% 
Shermin-Williams - Price: 194.073471     Price change: -0.649999% 
Boeing - Price: 179.808960     Price change: -0.299998% 
Duke Energy - Price: 200.464951     Price change: 0.649997% 
UnitedHealth Group - Price: 235.116547     Price change: 1.349998% 
JPMorgan Chase - Price: 188.153702     Price change: -0.570002% 
McDonalds - Price: 201.706223     Price change: 0.080002% 
Coca-Cola - Price: 189.712860     Price change: 0.869997% 
Microsoft - Price: 165.979736     Price change: 0.600003% 
